313 邊 0
314 扈 0
315 燕 0.00022
316 冀 0.00013　
317 郟 0
318 浦 0
319 尚 0.00089
320 農 0.00027　
321 溫 0.00154
322 別 0.
323 莊 0.00093  
324 晏 0.00036
325 柴 0.00109
326 瞿 0.00033
327 閻 0.0041
328 充 0
329 慕 0
330 連 0.00049
331 茹 0
332 習 0
333 宦 0
334 艾 0.00033
335 魚 0
336 容 0
337 向 0.00114
338 古 0.00036
339 易 0.0019
340 慎 0.
341 戈 0.
342 廖 0.0034
343 庾 0.
344 終 0.
345 暨 0.
346 居 0.
347 衡 0.
348 步 0.
349 都 0.
350 耿 0.00089
351 滿 0.00011
352 弘 0.
353 匡 0.00024
354 國 0.
355 文 0.0017
356 寇 0.00016
357 廣 0.
358 祿 0.
359 闕 0.
360 東 0.
361 歐 0.00089
362 殳 0.
363 沃 0.
364 利 0.00012
365 蔚 0
366 越 0
367 夔 0
368 隆 0
369 師 0.00022
370 鞏 0.00029
371 厙 0
372 聶 0.00114　
373 晁 0
374 勾 0
375 敖 0.00019
376 融 0
377 冷 0.00024
378 訾 0
379 辛 0.00077
380 闞 0
381 那 0
382 簡 0
383 饒 0.00057
384 空 0 
385 曾 0.005
386 毋 0
387 沙 0
388 乜 0
389 養 0
390 鞠 0
391 須 0
392 豐 0
393 巢 0
394 關 0.00089
395 蒯 0
396 相 0
397 查 0.00057
398 後 0
399 荊 0.00019
400 紅 0
401 游 0.00065
402 竺 0
403 權 0
404 逯 0　
405 蓋 0
406 益 0
407 桓 0
408 公 0.00013
409 万俟 0
410 司馬 0.00003
411 上官 0.00006
412 歐陽 0.00077
413 夏侯 0
414 諸葛 0
415 聞人 0
416 東方 0.000001　
417 赫連 0
418 皇甫 0.00004　
419 尉遲 0
420 公羊 0
421 澹臺 0
422 公冶 0 　
423 宗政 0
424 濮陽 0　
425 淳于 0
426 單于 0　
427 太叔 0
428 申屠 0　
429 公孫 0
430 仲孫 0 
431 軒轅 0
432 令狐 0
433 鐘離 0
434 宇文 0.000016　
435 長孫 0
436 慕容 0　
437 司徒 0
438 司空 0 　
439 鮮于 0
440 閭丘 0　
441 元官 0
442 司寇 0　
443 仇都 0
444 子車 0
445 顓孫 0
446 瑞木 0　
447 巫馬 0
448 公西 0　
449 漆雕 0
450 樂正 0　
451 壤駟 0
452 公良 0 　
453 拓拔 0
454 夾谷 0　
455 宰父 0
456 穀梁 0
457 晉楚 0
458 閏法 0　
459 汝鄢 0
460 涂欽 0　
461 段干 0
462 百里 0　
463 呼延 0
464 歸海 0 　
465 羊舌 0
466 微生 0　
467 梁丘 0
468 左丘 0
469 東郭 0
470 南門 0　
471 東門 0
472 西門 0　
473 南宮 0
474 岳帥 0　
475 侯亢 0
476 況后 0　
477 有琴 0
478 商牟 0　
479 余餌 0
480 伯賞 0
481 墨哈 0
482 譙亙 0　
483 年愛 0
484 陽佟 0　
485 第五 0
486 言福 0
487 XXXX  0
488 XXXX  0
489 XXXX  0
490 XXXX  0
491 XXXX  0
492 XXXX  0
493 XXXX  0
494 XXXX  0
495 XXXX  0
496 XXXX  0
497 XXXX  0
498 XXXX  0
499 XXXX  0
500 XXXX  0
